index;user;ip;start;end;clicksCounted;clicksCountedBiodiv1;clicksCountedBiodiv2;BiodivClicksCountedBiodiv1;BiodivClicksCountedBiodiv2;ExplanationClicksCountedBiodiv1;ExplanationClicksCountedBiodiv2
1;user1;141.35.40.29;2022-06-14T08:40:49.063Z;2022-06-14T09:37:58.435Z;69.0;25;44;3;5;0;0
2;user2;141.35.40.29;2022-06-14T12:10:15.635Z;2022-06-14T13:01:45.354Z;31.0;13;18;2;0;1;1
3;user3;141.35.40.14;2022-06-16T08:54:35.318Z;2022-06-16T09:58:40.488Z;31.0;19;12;0;0;0;0
4;user4;141.35.40.35;2022-06-16T12:42:34.635Z;2022-06-16T14:15:22.194Z;61.0;38;23;6;1;1;1
5;user5;141.35.40.3;2022-06-20T08:33:35.554Z;2022-06-20T09:34:50.618Z;130.0;54;76;26;37;2;2
6;user6;141.35.40.8;2022-06-21T08:00:19.048Z;2022-06-21T09:04:28.104Z;50.0;31;19;21;4;0;1
7;user7;141.35.40.8;2022-06-21T11:15:45.728Z;2022-06-21T12:10:51.348Z;53.0;39;14;15;0;0;0
8;user8;141.35.40.14;2022-07-05T11:29:37.304Z;2022-07-05T12:09:15.960Z;52.0;36;16;5;2;0;0
9;user9;141.35.40.10;2022-06-23T12:26:33.303Z;2022-06-23T13:19:27.129Z;39.0;18;21;5;3;0;0
10;user10;141.35.40.27;2022-06-27T07:35:16.376Z;2022-06-27T09:03:17.910Z;22.0;12;10;0;0;0;1
11;user11;141.35.40.51;2022-06-28T08:24:25.488Z;2022-06-28T09:39:19.159Z;17.0;9;8;0;0;0;0
12;user12;141.35.40.14;2022-07-05T13:50:44.594Z;2022-07-05T14:41:44.754Z;37.0;16;21;0;2;1;0
13;user13;141.35.40.18;2022-06-30T13:17:00.886Z;2022-06-30T14:22:55.845Z;49.0;27;22;3;2;0;0
14;user14;141.35.40.14;2022-07-05T08:50:01.385Z;2022-07-05T09:44:12.264Z;39.0;21;18;4;1;1;0
15;user15;141.35.40.6;2022-07-07T11:12:28.028Z;2022-07-07T12:22:28.750Z;36.0;11;25;0;2;0;1
16;user16;141.35.40.37;2022-07-08T09:01:18.543Z;2022-07-08T09:45:16.663Z;24.0;7;17;1;4;0;0
17;user17;141.35.40.37;2022-07-08T11:24:30.368Z;2022-07-08T12:51:26.455Z;59.0;29;30;6;5;0;0
18;user18;141.35.40.37;2022-07-08T13:51:42.681Z;2022-07-08T14:45:43.482Z;51.0;20;31;4;6;1;1
19;user19;141.35.40.42;2022-07-26T11:21:30.248Z;2022-07-26T13:51:42.681Z;34.0;7;27;0;1;0;0
20;user20;141.35.40.22;2022-07-15T08:37:42.296Z;2022-07-15T09:56:44.256Z;29.0;16;13;0;0;0;0
